City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
452,Honiara,SB,77.11,broken clouds,-9.4333,159.95,Heritage Park Hotel
465,Bambanglipuro,ID,77.14,scattered clouds,-7.95,110.2833,Puri Brata
468,Wiang Sa,TH,78.21,broken clouds,8.6359,99.3666,ชำนาญอินน์
470,Cabedelo,BR,79.47,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
485,Todos Santos,MX,75.79,clear sky,23.45,-110.2167,Hotel California Todos Santos
488,Neiafu,TO,77.68,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
489,Tangier,MA,67.24,few clouds,35.7806,-5.8137,Hotel Rembrandt
490,Cockburn Town,TC,78.76,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
493,Yulara,AU,75.04,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
494,Byron Bay,AU,67.89,broken clouds,-28.65,153.6167,Backpackers Inn
497,Tagusao,PH,79.09,overcast clouds,9.1924,117.8141,Green Villa beach resort
499,Raymond Terrace,AU,65.08,scattered clouds,-32.75,151.75,Sleepy Hill Motor Inn
504,Gat,IL,71.4,clear sky,31.61,34.7642,OlusHome
505,Moroto,UG,65.05,overcast clouds,2.5345,34.6666,"Kara-Tunga, Karamoja Safari Camp"
506,Pandan,PH,79.3,broken clouds,14.0453,124.1694,Bonifacio Lodge
511,Chimbote,PE,71.29,broken clouds,-9.0853,-78.5783,Hotel Briliá
521,Clarksdale,US,76.98,clear sky,34.2001,-90.5709,Americas Best Value Inn & Suites Clarksdale
526,Supe,PE,70.63,overcast clouds,-10.8,-77.7333,Hotel Mavars
527,Chowchilla,US,71.02,clear sky,37.123,-120.2602,Days Inn by Wyndham Chowchilla Gateway to Yosemite
529,Cidreira,BR,66.11,moderate rain,-30.1811,-50.2056,Hotel Castelo
530,Vikindu,TZ,76.64,light rain,-7.0067,39.2985,RUTA GUEST HOUSE
533,Montepuez,MZ,66.72,few clouds,-13.1256,38.9997,PembaAparthotel
534,Waingapu,ID,75.27,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
556,Khash,IR,72.52,scattered clouds,28.2211,61.2158,خوابگاه آبجی محدثه
557,Huarmey,PE,71.87,overcast clouds,-10.0681,-78.1522,Hotel Miramar
560,Sioux City,US,68.86,overcast clouds,42.5,-96.4003,Hilton Garden Inn Sioux City Riverfront
561,Owensboro,US,75.27,broken clouds,37.7742,-87.1133,Courtyard by Marriott Owensboro
570,Luganville,VU,78.4,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
579,Coquimbo,CL,67.48,clear sky,-29.9533,-71.3436,Hotel San Juan
588,Bilasipara,IN,79.39,clear sky,26.232,90.2347,Inspection Bunglow
591,Buraydah,SA,72.18,few clouds,26.326,43.975,Mövenpick Qassim
592,Farsala,GR,66.33,broken clouds,39.2947,22.3847,Aigli
594,Naze,JP,73.33,scattered clouds,28.3667,129.4833,Shishime Hotel
599,Liberty,US,79.05,clear sky,31.8335,-81.5004,Sasser’s Mobile Home Park
601,Conde,BR,78.26,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
602,Rantauprapat,ID,74.41,overcast clouds,2.1,99.8333,Permata Land Hotel & Resort
609,Inongo,CD,73.44,clear sky,-1.95,18.2667,Hotel Du Lac
612,Pangkalanbuun,ID,74.84,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
614,Kerema,PG,76.84,overcast clouds,-7.9631,145.7785,Frena Lodge
615,Nishihara,JP,78.46,broken clouds,26.1842,127.7558,Minshuku Agaihama
620,Lima,PE,69.39,scattered clouds,-12.0432,-77.0282,Hotel Kamana
621,Kisangani,CD,74.77,overcast clouds,0.5167,25.2,Grand Ramela Hotel
623,Magole,TZ,68.72,scattered clouds,-6.3667,37.3667,Juma lubelwa
624,Morondava,MG,77.07,clear sky,-20.2833,44.2833,La Case Bambou
625,Paoua,CF,74.68,light rain,7.2427,16.4406,Quartier Paoua Elien
626,Whyalla,AU,67.66,overcast clouds,-33.0333,137.5833,Foreshore Motor Inn
628,Pokhara,NP,74.73,clear sky,28.2333,83.9833,OYO 170 Hotel View Point
629,Sibu,MY,74.5,overcast clouds,2.3,111.8167,RH HOTEL (4 Star)
631,Dicabisagan,PH,78.71,scattered clouds,17.0818,122.4157,Nancy Montanes Bernardo
633,Le Port,RE,75.61,broken clouds,-20.9373,55.2919,KORBEY D'OR OUEST
639,Nichinan,JP,67.64,light rain,31.6,131.3667,Guest House Aki
640,Bundaberg,AU,65.21,overcast clouds,-24.85,152.35,Takalvan Motel
641,Vanimo,PG,77.31,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
