City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
132,Misratah,LY,4/27/22 17:17,32.3754,15.0925,67.35,65,48,21.72
133,Caorle,IT,4/27/22 17:23,45.5966,12.8758,66.34,60,0,5.06
134,Esperance,AU,4/27/22 17:23,-33.8667,121.9,58.84,82,71,11.65
135,Zhigansk,RU,4/27/22 17:23,66.7697,123.3711,5.88,98,20,9.1
136,Grajewo,PL,4/27/22 17:23,53.6473,22.4554,45.9,62,78,8.37
137,Cape Town,ZA,4/27/22 17:22,-33.9258,18.4232,65.26,63,0,5.99
138,Chuy,UY,4/27/22 17:23,-33.6971,-53.4616,63.79,91,100,4.07
139,Severo-Kurilsk,RU,4/27/22 17:23,50.6789,156.125,34.5,94,81,7.72
140,Premia De Mar,ES,4/27/22 17:23,41.4921,2.3652,70.61,63,100,1.99
141,Nanortalik,GL,4/27/22 17:23,60.1432,-45.2371,41.41,74,100,11.56
142,Dhidhdhoo,MV,4/27/22 17:23,6.8833,73.1,85.24,70,50,1.54
143,Saint-Philippe,RE,4/27/22 17:23,-21.3585,55.7679,73.22,80,71,3.96
144,Puerto Del Rosario,ES,4/27/22 17:23,28.5004,-13.8627,69.55,64,20,24.16
145,Ilulissat,GL,4/27/22 17:23,69.2167,-51.1,42.82,52,75,16.11
146,Iquique,CL,4/27/22 17:22,-20.2208,-70.1431,69.84,66,91,11.16
147,Qaanaaq,GL,4/27/22 17:23,77.484,-69.3632,20.64,71,32,4.56
148,Cabo San Lucas,MX,4/27/22 17:23,22.8909,-109.9124,87.1,32,0,3.44
149,Mount Gambier,AU,4/27/22 17:23,-37.8333,140.7667,58.91,94,100,5.75
150,Gizo,SB,4/27/22 17:23,-8.103,156.8419,82.44,76,100,8.23
151,San Patricio,US,4/27/22 17:23,28.017,-97.5169,80.69,56,16,14.43
152,Isiro,CD,4/27/22 17:23,2.7739,27.616,69.28,97,99,2.51
153,Nikolskoye,RU,4/27/22 17:23,59.7035,30.7861,37.87,67,98,4.45
154,Heihe,CN,4/27/22 17:23,50.2441,127.4902,30.78,45,16,8.41
155,Biak,ID,4/27/22 17:23,-0.9131,122.8766,76.78,85,98,2.66
156,Tukrah,LY,4/27/22 17:23,32.5341,20.5791,69.46,49,8,21.52
157,Kodiak,US,4/27/22 17:18,57.79,-152.4072,44.11,70,0,5.75
158,Sambava,MG,4/27/22 17:23,-14.2667,50.1667,76.78,81,49,0.72
159,Dabola,GN,4/27/22 17:23,10.75,-11.1167,100.96,16,7,1.86
160,Geraldton,AU,4/27/22 17:23,-28.7667,114.6,61.21,88,100,4.61
161,Brasileia,BR,4/27/22 17:23,-11.0161,-68.7481,91.85,62,75,5.75
162,Asau,RO,4/27/22 17:23,46.4333,26.4,52.95,100,100,3.11
163,Saskatoon,CA,4/27/22 17:19,52.1168,-106.6345,50.16,56,40,21.85
164,Knysna,ZA,4/27/22 17:23,-34.0363,23.0471,60.51,77,0,4.5
165,Ancud,CL,4/27/22 17:23,-41.8697,-73.8203,50.11,58,49,17.65
166,Smithers,CA,4/27/22 17:23,54.7804,-127.1743,37.72,75,40,2.3
167,Urumqi,CN,4/27/22 17:23,43.801,87.6005,54.55,54,0,6.71
168,Tijucas,BR,4/27/22 17:23,-27.2414,-48.6336,85.86,84,32,6.96
169,Port Alfred,ZA,4/27/22 17:23,-33.5906,26.891,61.18,85,1,14.92
170,Shache,CN,4/27/22 17:23,38.4167,77.2406,68.41,25,95,3.44
171,Conceicao Do Araguaia,BR,4/27/22 17:23,-8.2578,-49.2647,88.07,51,56,5.91
172,Alugan,PH,4/27/22 17:23,12.2188,125.4808,81.34,85,100,12.12
173,Leningradskiy,RU,4/27/22 17:23,69.3833,178.4167,17.31,90,100,9.6
174,Batemans Bay,AU,4/27/22 17:23,-35.7167,150.1833,64.09,95,97,3.42
175,Mehamn,NO,4/27/22 17:24,71.0357,27.8492,26.55,80,75,23.02
176,Suratgarh,IN,4/27/22 17:24,29.3167,73.9,95.47,9,0,6.6
177,Santa Maria,BR,4/27/22 17:24,-29.6842,-53.8069,90.7,49,20,13.8
178,Luderitz,NA,4/27/22 17:24,-26.6481,15.1594,66.16,55,0,3.67
179,Dundalk,US,4/27/22 17:19,39.2507,-76.5205,59.38,44,100,16.11
180,Kaseda,JP,4/27/22 17:24,31.4167,130.3167,66.94,90,100,1.95
181,Mar Del Plata,AR,4/27/22 17:24,-38.0023,-57.5575,62.87,57,0,11.99
182,Joshimath,IN,4/27/22 17:24,30.5667,79.5667,63.05,39,4,6.85
183,Port Elizabeth,ZA,4/27/22 17:21,-33.918,25.5701,65.1,88,0,9.22
184,Almaznyy,RU,4/27/22 17:24,48.0448,40.045,58.42,60,20,9.6
185,Thompson,CA,4/27/22 17:24,55.7435,-97.8558,39.36,30,0,10.36
186,Naron,ES,4/27/22 17:24,43.5167,-8.1528,59.59,85,87,2.13
187,Mayumba,GA,4/27/22 17:24,-3.432,10.6554,79.03,81,92,2.51
188,Tiznit,MA,4/27/22 17:24,29.5833,-9.5,65.16,56,0,9.98
189,Kimbe,PG,4/27/22 17:24,-5.5502,150.1429,75.99,94,62,3.02
190,Tulsipur,NP,4/27/22 17:24,28.131,82.2973,79.07,15,0,6.53
191,Merauke,ID,4/27/22 17:24,-8.4667,140.3333,78.89,87,97,7.52
192,Batagay-Alyta,RU,4/27/22 17:24,67.8006,130.4114,0.91,95,98,5.1
193,Ocampo,MX,4/27/22 17:24,21.65,-101.5,66.76,41,4,7.78
194,Kishtwar,IN,4/27/22 17:24,33.3167,75.7667,60.93,59,14,6.06
195,Lebu,CL,4/27/22 17:24,-37.6167,-73.65,54.32,71,73,13.29
196,Sidney,AU,4/27/22 17:23,-33.8679,151.2073,63.7,93,75,6.91
197,Ucluelet,CA,4/27/22 17:24,48.9329,-125.5528,48.09,80,74,1.01
198,Margate,GB,4/27/22 17:21,51.3813,1.3862,49.69,64,7,8.01
199,Opuwo,NA,4/27/22 17:24,-18.0607,13.84,76.55,32,5,2.91
200,Pinar Del Rio,CU,4/27/22 17:24,22.4175,-83.6981,86.29,39,100,11.34
201,Half Moon Bay,US,4/27/22 17:24,37.4636,-122.4286,61.14,68,0,14.97
202,Goderich,CA,4/27/22 17:24,43.7501,-81.7165,31.91,74,100,19.57
203,Byron Bay,AU,4/27/22 17:24,-28.65,153.6167,62.49,86,65,3.85
204,Richards Bay,ZA,4/27/22 17:24,-28.783,32.0377,64.96,81,45,3.06
205,Porto Santo,PT,4/27/22 17:24,33.072,-16.3415,66.58,59,20,11.5
206,Pisco,PE,4/27/22 17:24,-13.7,-76.2167,68.02,88,75,10.36
207,Copiapo,CL,4/27/22 17:24,-27.3667,-70.3333,65.89,33,0,6.26
208,Tabora,TZ,4/27/22 17:24,-5.0167,32.8,69.24,80,98,4
209,Batticaloa,LK,4/27/22 17:24,7.7102,81.6924,83.14,76,4,7.96
210,Muzhi,RU,4/27/22 17:24,65.3667,64.6667,25.52,75,47,8.16
211,Gornyye Klyuchi,RU,4/27/22 17:24,45.25,133.5,36.99,57,0,3.74
212,Laguna,US,4/27/22 17:24,38.421,-121.4238,64.69,56,0,8.05
213,Gazli,UZ,4/27/22 17:24,40.1333,63.45,78.01,19,99,22.41
214,Naryan-Mar,RU,4/27/22 17:24,67.6713,53.087,18.91,82,81,14.58
215,Flinders,AU,4/27/22 17:24,-34.5833,150.8552,64.18,93,96,5.99
