City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
154,Talnakh,RU,69.4865,88.3972,11.21,95,100,3.78,overcast clouds
155,Gazojak,TM,41.1875,61.4036,71.38,54,83,11.41,broken clouds
156,Vaini,TO,-21.2,-175.2,77.16,73,20,10.36,few clouds
157,Cabo San Lucas,MX,22.8909,-109.9124,88.61,47,2,10,clear sky
158,Katherine,AU,-14.4667,132.2667,80.92,74,94,4.61,overcast clouds
159,Lluta,PE,-16.0147,-72.0142,60.96,35,11,9.55,few clouds
160,Port Hardy,CA,50.6996,-127.4199,44.78,81,40,4.61,scattered clouds
161,Kunyang,CN,27.6658,120.5658,63.27,94,100,2.46,overcast clouds
162,Mantua,IT,45.1667,10.7833,65.35,57,0,5.84,clear sky
163,Dikson,RU,73.5069,80.5464,12.18,90,89,21.61,overcast clouds
164,Ribeira Grande,PT,38.5167,-28.7,63,94,40,16.11,light rain
165,Egvekinot,RU,66.3167,-179.1667,21.78,72,1,6.31,clear sky
166,Sacramento,US,38.4666,-121.3177,66,43,0,5.75,clear sky
167,Aksu,CN,41.1231,80.2644,56.3,50,0,10.89,clear sky
168,Tura,IN,25.5198,90.2201,74.08,82,0,2.86,clear sky
169,Nouadhibou,MR,20.931,-17.0347,67.98,73,0,20.71,clear sky
170,Ilulissat,GL,69.2167,-51.1,26.62,93,100,4.61,overcast clouds
171,College,US,64.8569,-147.8028,49.08,46,84,1.99,broken clouds
172,Rosarito,MX,32.3333,-117.0333,68.63,62,1,10.8,clear sky
173,Roebourne,AU,-20.7833,117.1333,72.77,81,100,9.04,light rain
174,Baykit,RU,61.67,96.37,38.19,99,100,4.52,overcast clouds
175,Roswell,US,34.0232,-84.3616,80.67,31,0,4.61,clear sky
176,Flinders,AU,-34.5833,150.8552,63.68,92,1,5.99,clear sky
177,Kalmunai,LK,7.4167,81.8167,80.82,84,77,7.94,broken clouds
178,Zaragoza,ES,41.6561,-0.8773,66.25,69,0,10.36,clear sky
179,Yerofey Pavlovich,RU,53.9667,121.9667,33.03,49,100,11.77,overcast clouds
180,Lavrentiya,RU,65.5833,-171,29.16,87,99,11.52,overcast clouds
181,Luderitz,NA,-26.6481,15.1594,61.68,68,0,7.65,clear sky
182,Yenagoa,NG,4.9247,6.2642,78.12,88,98,2.66,overcast clouds
183,Stanghelle,NO,60.5528,5.7357,46.92,93,98,1.21,overcast clouds
184,Pauini,BR,-7.7136,-66.9764,90.97,51,57,3,broken clouds
185,Winslow,US,35.0242,-110.6974,75.38,8,0,14.97,clear sky
186,Puerto Leguizamo,CO,-0.1934,-74.7819,81.73,76,99,3.53,overcast clouds
187,Campbellsville,US,37.3434,-85.3419,74.71,22,83,1.99,broken clouds
188,Laguna,US,38.421,-121.4238,66.15,41,0,5.75,clear sky
189,Tautira,PF,-17.7333,-149.15,80.33,75,12,22.68,light rain
190,Yaan,NG,7.3833,8.5667,81.37,63,63,5.53,broken clouds
191,Lebu,CL,-37.6167,-73.65,54.86,64,8,13.15,clear sky
192,Bitung,ID,1.4451,125.1824,76.05,84,100,3.29,overcast clouds
193,Provideniya,RU,64.3833,-173.3,28.45,81,61,15.1,broken clouds
194,Sinnamary,GF,5.3833,-52.95,82.15,75,99,10.83,overcast clouds
195,Havoysund,NO,70.9963,24.6622,25.74,62,100,21.47,snow
196,Pajarito,CO,5.2929,-72.7028,78.49,74,97,4.7,overcast clouds
197,Brae,GB,60.3964,-1.353,46.02,78,93,5.35,overcast clouds
198,Alice Springs,AU,-23.7,133.8833,69.22,32,70,0,broken clouds
199,Arman,RU,59.7,150.1667,26.38,73,100,14.58,overcast clouds
200,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,87,75,10.36,broken clouds
201,Cadiz,ES,36.5,-5.75,60.13,88,5,0.83,clear sky
202,Itarema,BR,-2.9248,-39.9167,81.09,83,90,10.85,overcast clouds
203,Husavik,IS,66.0449,-17.3389,44.15,62,20,2.28,few clouds
204,Solhan,TR,38.9634,41.0293,56.03,78,100,0.74,overcast clouds
205,Najran,SA,17.4924,44.1277,75.85,47,31,2.08,light rain
206,Codrington,AU,-38.2667,141.9667,66.33,65,48,16.2,scattered clouds
207,Morro Bay,US,35.3658,-120.8499,67.24,55,0,5.01,clear sky
208,Miri,MY,4.4148,114.0089,77.14,100,40,1.14,scattered clouds
209,Hamilton,US,39.1834,-84.5333,62.89,46,20,9.22,few clouds
210,Chumikan,RU,54.7183,135.315,26.2,73,98,9.31,overcast clouds
211,Antsohihy,MG,-14.8796,47.9875,76.42,80,35,7.14,light rain
212,Nainpur,IN,22.4333,80.1167,89.22,14,36,3.96,scattered clouds
213,Pisco,PE,-13.7,-76.2167,71.65,68,0,8.05,clear sky
214,Okha,RU,53.5739,142.9478,28.02,89,100,18.63,overcast clouds
215,East London,ZA,-33.0153,27.9116,68.94,52,0,6.91,clear sky
216,Kaduqli,SD,11.0167,29.7167,92.68,12,93,3.15,overcast clouds
217,Teluk Nibung,ID,3.001,99.8164,77.43,93,80,5.01,broken clouds
218,Necochea,AR,-38.5473,-58.7368,53.29,59,79,22.06,broken clouds
219,Olga,RU,43.7444,135.2892,40.89,54,100,5.53,overcast clouds
220,Fuerte Olimpo,PY,-21.0415,-57.8738,100.56,20,42,5.32,scattered clouds
221,Joshimath,IN,30.5667,79.5667,58.62,58,10,7.27,clear sky
222,Bichena,ET,10.45,38.2,58.77,72,97,6.44,light rain
223,Cashel,IE,52.5158,-7.8856,54.9,85,100,4.14,overcast clouds
224,Ibia,BR,-19.4783,-46.5389,84.9,45,20,4.38,few clouds
225,Atasu,KZ,48.6814,71.6433,58.8,38,100,7.96,overcast clouds
226,Bathsheba,BB,13.2167,-59.5167,84.81,74,20,14.97,few clouds
227,Sri Aman,MY,1.2376,111.4621,75.25,100,90,0,moderate rain
228,Ponta Do Sol,PT,32.6667,-17.1,66.7,79,83,4.03,broken clouds
229,Cartagena,CO,10.3997,-75.5144,85.62,74,75,8.05,broken clouds
230,Northam,GB,51.0333,-4.2167,56.66,68,99,7.56,overcast clouds
231,Yumen,CN,40.2833,97.2,48.99,22,100,4.7,overcast clouds
232,Altay,CN,47.8667,88.1167,42.8,37,0,8.52,clear sky
233,Sao Felix Do Xingu,BR,-6.6447,-51.995,85.21,63,100,4.59,overcast clouds
234,Sitka,US,57.0531,-135.33,46.29,66,40,5.75,scattered clouds
235,Longyearbyen,SJ,78.2186,15.6401,3.13,74,9,8.32,clear sky
236,Faanui,PF,-16.4833,-151.75,81.72,70,3,23.91,clear sky
237,Baiyin,CN,36.5583,104.2081,55.33,27,100,10.09,light rain
238,Riyadh,SA,24.6877,46.7219,68.14,48,100,2.42,overcast clouds
239,Morant Bay,JM,17.8815,-76.4093,87.71,64,24,13.35,few clouds
240,Mehamn,NO,71.0357,27.8492,22.91,72,100,25.23,light snow
241,Beira,MZ,-19.8436,34.8389,75.29,69,75,5.99,broken clouds
242,Quatre Cocos,MU,-20.2078,57.7625,74.08,75,0,1.66,clear sky
243,Bengkulu,ID,-3.8004,102.2655,77.32,88,100,4,overcast clouds
244,Buritis,BR,-15.6178,-46.4233,90.64,31,18,5.84,few clouds
245,Callaway,US,30.153,-85.5699,84,60,20,9.22,few clouds
246,Tyup,KG,42.7276,78.3648,44.42,38,0,2.89,clear sky
247,Port Keats,AU,-14.25,129.55,79.86,81,98,5.03,overcast clouds
248,Progreso,MX,21.2833,-89.6667,93.11,64,7,16.64,clear sky
249,Abu Kamal,SY,34.4506,40.9171,78.4,36,100,13.47,light rain
250,Ler,SS,8.3018,30.1418,83.01,58,98,4.32,overcast clouds
251,Guerrero Negro,MX,27.9769,-114.0611,66.18,57,1,18.32,clear sky
252,Houma,US,29.5958,-90.7195,81.01,41,36,4,scattered clouds
253,Saint Anthony,US,45.0205,-93.218,49.21,48,100,14.97,overcast clouds
254,Denpasar,ID,-8.65,115.2167,80.26,94,40,2.3,scattered clouds
255,Srednekolymsk,RU,67.45,153.6833,5.61,97,100,5.35,overcast clouds
256,Hirara,JP,24.8,125.2833,79.39,88,0,17.85,clear sky
257,Vikramasingapuram,IN,8.714,77.3893,83.07,82,87,4.34,overcast clouds
258,Tuktoyaktuk,CA,69.4541,-133.0374,6.8,85,100,12.66,light snow
259,Upernavik,GL,72.7868,-56.1549,20.64,84,25,4.16,scattered clouds
260,Constantine,DZ,36.365,6.6147,56.61,88,75,8.05,light rain
261,San Cristobal,VE,7.7669,-72.225,73.58,57,100,3.85,overcast clouds
262,Akyab,MM,20.15,92.9,81.77,84,19,6.73,few clouds
263,Floro,NO,61.5996,5.0328,42.96,70,75,8.05,broken clouds
264,Makokou,GA,0.5738,12.8642,71.73,96,100,2.15,light rain
265,Collierville,US,35.042,-89.6645,79.88,30,11,5.01,few clouds
266,Evensk,RU,61.95,159.2333,31.44,82,74,12.93,broken clouds
267,Saldanha,ZA,-33.0117,17.9442,57.25,91,0,13.42,clear sky
268,Tarauaca,BR,-8.1614,-70.7656,83.66,80,76,2.46,broken clouds
269,Sohag,EG,26.557,31.6948,88.09,5,29,6.8,scattered clouds
270,Kolokani,ML,13.5728,-8.0339,92.62,21,75,5.7,broken clouds
271,Toamasina,MG,-18.1667,49.3833,73.09,70,3,15.37,clear sky
272,Tete,MZ,-16.1564,33.5867,73.49,73,75,0,broken clouds
273,Solvychegodsk,RU,61.3305,46.9156,23.65,80,11,3.36,few clouds
274,Polunochnoye,RU,60.8697,60.4153,28.89,91,96,9.78,overcast clouds
275,Ierapetra,GR,35.01,25.7353,69.15,52,0,8.01,clear sky
276,Vaitape,PF,-16.5167,-151.75,81.73,70,3,23.87,clear sky
277,Nanchang,CN,28.6833,115.8833,57.94,85,100,14.72,overcast clouds
278,Magdiwang,PH,12.491,122.5135,81.88,79,100,9.91,overcast clouds
279,Muros,ES,42.7762,-9.0603,62.1,69,74,11.16,broken clouds
280,Magdalena,PH,14.1999,121.429,82.35,91,100,6.42,overcast clouds
281,Inuvik,CA,68.3499,-133.7218,12.96,72,75,8.05,broken clouds
282,Amarante Do Maranhao,BR,-5.5667,-46.7422,85.33,60,48,5.55,scattered clouds
283,Yar-Sale,RU,66.8333,70.8333,15.08,85,100,4.83,overcast clouds
284,Southbridge,US,42.0751,-72.0334,51.64,44,100,5.01,overcast clouds
285,Jawhar,SO,2.7809,45.5005,82.35,72,25,11.14,scattered clouds
286,Mahibadhoo,MV,3.7833,72.9667,84.51,74,100,8.97,overcast clouds
287,Quepos,CR,9.4236,-84.1652,83.93,76,62,5.95,broken clouds
288,Tuatapere,NZ,-46.1333,167.6833,44.46,94,31,3.69,scattered clouds
289,Hay River,CA,60.8156,-115.7999,33.76,75,20,5.75,few clouds
290,Acarau,BR,-2.8856,-40.12,81.68,81,95,10.85,overcast clouds
291,Burhaniye,TR,39.5004,26.9727,60.49,67,0,11.48,clear sky
292,Tiarei,PF,-17.5333,-149.3333,82.42,74,9,23.73,light rain
293,Yeppoon,AU,-23.1333,150.7333,67.78,88,21,12.06,few clouds
294,Port Lincoln,AU,-34.7333,135.8667,62.26,88,100,9.51,overcast clouds
295,Aksarka,RU,66.5606,67.7975,13.73,92,100,3.78,overcast clouds
296,Amapa,BR,1,-52,79.18,95,100,3.62,heavy intensity rain
297,Zabaykalsk,RU,49.6333,117.3167,32.68,45,29,9.15,scattered clouds
298,Dalvik,IS,65.9702,-18.5286,49.93,61,77,4.36,broken clouds
299,Labuhan,ID,-6.8844,112.2051,79.75,84,100,2.59,moderate rain
300,Poltava,UA,49.5937,34.5407,51.8,63,99,6.93,overcast clouds
301,Mercedes,AR,-34.6515,-59.4307,63.86,29,0,11.27,clear sky
302,Tual,ID,-5.6667,132.75,84.45,71,100,13.15,overcast clouds
303,Roma,US,43.2128,-75.4557,48.96,32,0,18.99,clear sky
304,Andros Town,BS,24.7,-77.7667,76.96,59,0,12.53,clear sky
305,Nantucket,US,41.2835,-70.0995,51.91,63,10,12.53,clear sky
306,Ust-Maya,RU,60.4167,134.5333,21.11,93,100,5.55,overcast clouds
